"FIPS","agreeableness","median_household_income_acs2014_5yr","perc_bach_acs2014_5yr","unemployment_rate_acs2014_5yr","HighSchoolGraduationRate_chr20","PercRural_chr20","PercHispanic_chr20","LogPopulation_chr20","median_age_acs2014_5yr","perc_female_acs2014_5yr","perc_married_acs2014_5yr","perc_aa_acs2014_5yr"
"01091",-0.495898829831,33714,1.8,11,91,69.3,2.6,9.855660438537598,42.1,53.3896237,47.4,51.3055786
"01093",0.950455686065,33819,3.3,11.4,90,88.9,2.6,10.300999641418457,43.8,50.36852622,58.5,3.698365381
"01095",-0.20907703402,39473,5.4,9.5,92,53.3,14.3,11.473199844360352,38.6,50.80800246,53.6,1.809373041
"01097",-0.451220407898,43844,7.2,11.1,84,20,3.1,12.932999610900879,36.9,52.10955331,45.3,34.9326764
"01099",-0.448789863842,30569,3,18.8,88,79,1.6,9.955459594726562,40.9,52.13470167,46,41.97876405
"01101",-0.615420040002,44830,7.3,8.9,82,10.5,3.5,12.327199935913086,34.9,52.45313524,39.6,55.66484597
"01103",0.211522356013,45341,5.1,10.8,90,38.6,8.5,11.687600135803223,39.1,50.86768439,51.8,12.03651122
"01105",-0.278857215181,25528,2.9,18,93,100,1.4,9.120420455932617,36.3,53.5528766,29.5,68.35244536
"01107",-1.00501544145,29839,2.5,16.7,98,100,4.8,9.90038013458252,42.3,51.79581232,45.5,42.72759692
"01109",0.125519569029,32798,6.8,9.9,87,51.7,2.4,10.41450023651123,31.1,52.47772158,40.9,36.43725915
"01111",-0.305433434496,36498,7.8,11.4,92,81.3,2.9,10.031200408935547,42,51.19257173,54.3,20.04488646
"01113",-0.783507368993,36066,2.7,12.4,88,35.4,5.6,10.964400291442871,35,51.45314145,42.8,41.83222183
"01115",0.00399789344942,51317,5,9.5,88,72.8,2.5,11.392900466918945,39.5,49.96597921,55.4,9.328734661
"01117",0.360599118421,69723,13.3,6.2,94,22.9,5.8,12.281700134277344,37.5,51.26461465,57.2,11.45808478
"01119",-0.275754387719,22865,5.1,16.7,77,100,1.2,9.448650360107422,36.8,54.91699546,31.8,73.03655178
"01121",-0.564185120559,35896,2.9,14.9,93,55.8,2.4,11.287599563598633,40.3,51.35846608,48,31.89058808
"01123",-0.142060806405,38644,4.7,10.3,90,74.2,2.4,10.609000205993652,42.5,51.60915365,49.2,27.74427897
"01125",0.0820982610975,46448,8.3,8.2,89,25.5,3.9,12.249699592590332,31.6,51.67463633,42.8,30.39009413
"01127",-0.188746724172,36712,3.4,13.1,90,74.1,2.6,11.062100410461426,42.4,51.36457688,51.3,5.684855991
"01129",-0.457826501697,44731,1.3,19.8,93,100,1.6,9.703689575195312,40.2,50.35303729,56,24.32747856
"01131",NULL,23406,5.3,21.6,83,100,1.4,9.271149635314941,39.3,53.0570951,35,72.18263394
"01133",0.422750190081,34064,3.1,10.1,93,84.9,3.2,10.071499824523926,43.9,51.38110158,54.2,0.692612137
"02013",NULL,59886,3.7,2.2,89,100,14.7,8.164790153503418,41.3,30.24878641,48.8,10.37621359
"02016",NULL,82284,4.8,2.7,91,100,13.8,8.652250289916992,38.4,38.38938053,38.8,5.221238938
"02020",-0.149747868732,78121,6.6,6.9,81,4.1,9.3,12.582900047302246,32.6,49.06901247,48,5.904862196
"02050",NULL,51930,1.5,17.3,62,73.9,2.4,9.810059547424316,26.5,47.70710059,38.1,0.665680473
"02060",NULL,82500,0,5.5,85,100,7.5,6.776509761810303,40.1,45.42713568,52.5,0.301507538
"02068",NULL,79167,29.3,2.7,65,100,3.2,7.629980087280273,39.1,48.19335938,47.3,1.904296875
"02070",NULL,54846,1.1,16.4,67,100,3.8,8.517189979553223,29,48.20419693,39.7,0.221953188
"02090",-0.417830763689,70408,6.7,8.2,74,30.9,8.4,11.502599716186523,30.6,46.80574714,50.9,4.51373856
"02100",NULL,57551,1.1,6.2,78,100,3.2,7.813590049743652,43,45.40477122,49.4,0.03910833
"02105",NULL,50268,6.9,13.9,91,NULL,6.4,7.673689842224121,47.5,46.75446849,51.8,0.564440263
"02110",0.302733388831,84750,7.6,5.6,83,21.5,6.8,10.376999855041504,37.3,48.49378882,47.7,1.192546584
"02122",0.614667441323,63099,3.2,9.4,85,79.3,4.3,10.977299690246582,40.5,47.67054175,52.6,0.590964419
"02130",0.448083499524,61712,4.1,8.5,84,23.2,5.8,9.540940284729004,38.8,48.18660427,48.4,0.402164376
"02150",0.0483183349783,70529,2,5.3,86,31.3,8.8,9.498900413513184,32.3,47.34271761,53.5,0.825912094
"02164",NULL,47143,2.5,11.9,NULL,100,3.5,7.36959981918335,28.9,50.80536913,43.3,0.536912752
"02170",-0.15560624114,72134,2.9,10.2,83,50.3,5.1,11.586299896240234,34.7,47.87996974,53,0.900440097
"02180",NULL,47579,0.7,17.6,75,66.1,2.5,9.211139678955078,27.9,46.61968954,34.5,0.653594771
"02185",-0.214998300758,74609,3,10.3,68,59.3,4.3,9.197460174560547,34.3,36.45248492,45.1,0.447078395
"02188",NULL,63971,2.1,23.8,76,57.5,3.8,8.945199966430664,26,46.44160584,37.3,0.31282586
"02195",NULL,61492,2,5.7,90,NULL,6,8.077449798583984,41.8,48.16313823,51.7,2.303860523
"02198",NULL,46387,7,13.4,77,NULL,3.7,8.76747989654541,40,45.51604783,46.6,0.298930145
"02220",0.442167556152,69635,3.7,4.6,87,20.9,7,9.064970016479492,38.5,49.00078151,50.8,0.993636262
"02230",NULL,72868,4.3,5.5,NULL,NULL,5.5,7.045780181884766,42.2,49.19678715,52.3,0
"02240",NULL,65481,3.4,8.4,77,100,6.4,8.841879844665527,35.1,44.50596252,53.8,1.064735945
"02261",NULL,81736,4.6,9.6,67,100,5.3,9.123040199279785,37,46.67010842,49.5,0.299432112
"02270",NULL,40943,0,28.7,NULL,NULL,NULL,NULL,22.5,47.17150939,33.6,0.269992286
"02275",NULL,48324,8.3,6,90,NULL,3,7.825250148773193,54.4,49.34955938,54.9,0.167855644
"02282",NULL,69306,0,8.2,NULL,100,4.6,6.403570175170898,40.5,41.88976378,43.7,5.826771654
"02290",NULL,37796,0,20.3,67,100,2.8,8.58053970336914,35,46.34577951,37.3,0.300831711
"04001",0.419748011367,32396,1,20.1,73,74.1,6.4,11.181900024414062,33,50.34376646,34.7,0.584957445
"04003",0.0592111234282,45974,4.5,9.3,88,36.3,35.6,11.750100135803223,39.6,48.95686011,50.5,3.935569197
"04005",0.912111097497,48540,6.5,9.7,82,31.5,14.3,11.869600296020508,31,50.5466915,41.2,1.479196271
"04007",-0.186239861266,40042,2,12.1,75,41.1,18.7,10.894700050354004,48,50.1483791,50.7,0.599151046
"04009",-0.0851913199457,46965,1.4,13.2,86,46.4,33.1,10.547200202941895,32,46.33486103,46.7,2.138779448
"04011",-0.158884121921,50818,1.3,8.7,90,46.6,47.3,9.157259941101074,33.5,47.13636364,52.1,1.420454545
"04012",-0.0258220312369,37009,0,12.2,84,56.3,28.1,9.956930160522461,54.6,48.90898368,57.3,0.240809908
"04013",0.0784760415344,53689,8,8.9,78,2.4,31.3,15.299599647521973,35.3,50.56873138,47.7,5.159115586
"04015",0.252009710629,38456,3.4,14.3,78,23,16.8,12.252699851989746,48.6,49.73479124,50,1.083059235
"04017",0.524176405732,36591,0.7,19.9,78,54.1,11.5,11.612299919128418,35.4,50.10931351,44.6,0.55912698
"04019",-0.349933498766,46233,7.4,10.8,73,7.5,37.6,13.853799819946289,37.9,50.83190353,45.4,3.567055734
"04021",-0.279222259275,50248,2,11.6,81,21.9,30.4,13.010600090026855,36.6,48.04413574,50.2,4.642454378
"04023",0.396848342914,38802,2.1,11.8,90,26.9,83.4,10.747400283813477,36.2,52.06137566,53.4,0.457142857
"04025",0.438028812589,44000,3.9,10.9,82,33.2,14.7,12.354499816894531,50.8,51.05269808,53.6,0.55594813
"04027",-0.42664679521,41380,2.9,13.4,89,10.4,64.3,12.264900207519531,33.6,49.11567462,55.8,2.046631224
"05001",0.218427361765,37813,6.2,7.7,82,34.7,3.3,9.785209655761719,41.6,51.83712422,51.7,25.67202163
"05003",-0.454350516628,35136,4.3,12,90,51.7,5.5,9.905779838562012,40.7,51.82161683,54.1,26.06708028
"05005",0.960525917329,35594,2.1,9.1,86,65.8,2.5,10.636300086975098,51.1,52.01681489,57,0.279438208
"05007",1.06139891593,56325,8.7,5,90,25.2,16.9,12.515800476074219,34.9,50.51480798,60,1.346024049
"05009",0.937530840316,38705,2.9,9.3,93,62.2,2.6,10.531599998474121,41.5,51.29274395,57.9,0.161424843
"05011",NULL,33745,11.9,7.3,90,49.6,15.7,9.296239852905273,40.3,51.06044539,54,28.63202545
"05013",NULL,35000,4,7.5,92,100,4.1,8.571109771728516,44.9,47.96809723,54,24.74363844
"05015",1.02080849208,36897,3.5,7.4,82,72.8,15.2,10.247900009155273,44.7,51.48410917,58.4,0.814450156
"05017",-0.870815633266,28086,2.3,12,87,54.3,5.8,9.253210067749023,42,51.15327705,43.5,53.98206981
"05019",0.775852947587,34109,6.5,10.4,84,54.4,4.9,10.00160026550293,34.1,52.65789474,43.8,24.10526316
"05021",NULL,32057,1.6,11.2,93,58.9,2.1,9.605549812316895,43.8,50.50394813,52.2,0.089876099
"05023",0.457712361107,40768,3,12,92,75.5,2.4,10.125200271606445,46.8,50.15314233,55.5,0.43422634
"05025",NULL,41586,11,10.3,96,100,2.4,8.989439964294434,41.4,50.16866349,58.7,11.58543678
"05027",-0.138479409665,37509,7.5,9.5,91,57.5,2.9,10.066300392150879,35.8,52.42213115,48.1,36
"05029",-0.070957576679,37314,2.7,8.7,86,70.5,4,9.947070121765137,40.1,50.46989374,52,11.81582054
"05031",0.690848728398,42085,9.1,8.2,93,32.2,5.2,11.595000267028809,33.4,51.19647418,48.9,13.61045725
"05033",0.692843651097,40712,2.3,8.5,90,52,8,11.057299613952637,38.6,50.89203397,58,1.408815204
"05035",-0.465582251142,37781,3.6,12.6,89,20.9,2.6,10.786100387573242,34.2,52.66283983,41.6,51.20983816
"05037",0.187608184009,37725,6.5,9.1,92,56.8,2,9.72173023223877,40.1,52.10571185,54.1,22.4097755
"05039",NULL,32554,1.8,7.1,87,52.6,3.4,8.879329681396484,43.4,49.91199397,53.5,41.56399296
"05041",-0.464700750737,28457,0,15.1,87,31.4,6.4,9.351140022277832,39.6,53.60260276,43.2,48.38120933
"05043",0.0717739063495,32351,6.3,14.4,88,48.6,3.9,9.816180229187012,37.7,51.60652232,50.3,28.74632451
"05045",0.729910268109,51095,10.9,6.8,93,38.8,4.1,11.73449993133545,31.5,50.96940681,49.2,11.01151064
"05047",NULL,39879,1.5,11.3,97,82.6,3.4,9.787520408630371,40.3,50.35077951,53.9,0.96325167
"05049",NULL,36244,0.9,8.7,98,92.9,1.5,9.414830207824707,47.6,50.60566377,62.3,0.180062203
"05051",0.369846933685,39558,2.9,10,85,36.9,5.9,11.504400253295898,44.1,51.49477294,50.3,8.288913681
"05053",0.451226885578,46074,3.4,9.5,89,75,2.9,9.808520317077637,39.7,50.97146664,58.6,2.548018208
"05055",0.601077107944,39500,4.1,9.6,96,41.5,2.9,10.721599578857422,38.2,50.53292995,53.8,0.84244822
"05057",-0.41299374633,32587,3.6,9.9,82,55.8,13.2,9.986949920654297,38.9,52.63838708,47.6,29.56866943
"05059",-0.219930579121,41353,3.5,7.9,92,66,3.5,10.425299644470215,40.2,48.9827809,51.1,11.82498422
"05061",0.0481590009151,38050,5.2,9.4,97,67.5,12.6,9.498600006103516,37.3,51.41395689,47.8,21.68797954
"05063",0.258015829885,36186,4,7.8,88,68.6,6.5,10.536800384521484,38.5,50.87219555,54.6,2.512140202
"05065",NULL,31219,0,10.5,97,100,2.6,9.51731014251709,47.4,48.71320811,56.6,1.116698713
"05067",-0.293851193622,31512,4.3,8.3,89,65.1,2.9,9.729789733886719,40.9,50.09016116,42.5,16.6741801
"05069",-0.457719389324,36799,4.2,12.7,81,30.9,2.1,11.128899574279785,38,50.83115665,39.9,55.51938919
"05071",0.27047740656,32553,3.9,6.8,91,71.4,14.1,10.194000244140625,38.1,50.70761118,54.4,1.896010236
"05073",NULL,31215,5.7,14.8,93,100,2.8,8.807169914245605,43.7,51.69801109,42.8,37.70802327
"05075",0.83760890173,33481,4.2,8.4,89,63.6,1.7,9.707110404968262,40.8,50.8419274,51.2,0.798228748
"05077",NULL,26986,0,18.4,80,63.5,2.5,9.103309631347656,40.1,43.92670673,34.2,56.58555807
"05079",NULL,32615,3.2,16.4,95,100,3.9,9.501740455627441,37.2,39.02784667,40.6,29.56139729
