FIPS,COMPONENT_0,COMPONENT_1,COMPONENT_10,COMPONENT_11,COMPONENT_12,COMPONENT_13,COMPONENT_14,COMPONENT_15,COMPONENT_16,COMPONENT_17,COMPONENT_18,COMPONENT_19,COMPONENT_2,COMPONENT_20,COMPONENT_21,COMPONENT_22,COMPONENT_23,COMPONENT_24,COMPONENT_3,COMPONENT_4,COMPONENT_5,COMPONENT_6,COMPONENT_7,COMPONENT_8,COMPONENT_9
01001,-0.0013722018582443,-0.0020290135000939,-0.0014887419284934,-0.0001805145749043,-6.71885948407e-05,-0.0001547084213471,-0.0004380583269374,-0.0001191058184168,0.0014806606107965,-7.25486139655e-05,0.0001313837775669,3.092428429e-07,-0.0023016895887776,0.0005959816430711,-5.13385916123e-05,-0.0003915832881565,4.47097786601e-05,0.0010332909761432,-0.0011673102167122,-0.0012498037611185,-0.0008955218224397,-0.0001639763974871,-0.000409537023683,-0.0004301250644562,-0.0001335183867143
01003,-0.0003956752426533,-0.002184860773672,-0.0015316781430219,-0.0001155073232472,-0.0001317434338199,-0.0001442142769493,-0.0004089374185432,-9.592842086e-05,0.0015633627570634,-4.20441740768e-05,0.000207616728842,5.56897956632e-05,-0.0020268430518296,0.0005955187406356,-4.83122649386e-05,-0.0004351637178483,-2.77468342866e-05,0.0010717499261655,-0.0012494303739182,-0.0010171176880352,-0.0009698231085391,-0.0001126912356469,-0.0004794227327765,-0.0003548570198486,-9.92395967513e-05
01005,-0.001715627359029,-0.0017294173096473,-0.0015033532761772,-0.0002444692499553,-7.3731037933e-06,-0.0002116740445282,-0.0005737747218406,-0.0001267501054396,0.0014787462501353,9.7999846383e-06,7.07595075118e-05,-3.43525069495e-05,-0.0020198958920079,0.000531378120427,-0.0001140242661247,-0.0002472748410468,9.30652483905e-05,0.0011141381851893,-0.0015895294842689,-0.001300971310937,-0.0008508352116379,-0.0002231836627431,-0.0006681485856051,-0.0006775062085244,-0.0001710838912396
01007,-0.0012348180313175,-0.0026290075501533,-0.0015934935442375,-0.0001182299832649,-0.0001583045630272,5.4498921058e-06,-0.0004095933600808,-0.0001593562221413,0.0017049459372439,-0.0001261241183614,0.0001331633602332,4.80582545838e-05,-0.0016716220175791,0.0003559387757762,1.45967181561e-05,-0.0004264458414503,0.0001221232201612,0.0009320360965774,-0.0013695714549199,-0.0007412182434311,-0.0009311074180342,-0.0001873632460163,-0.0003693420934337,-0.0005187845235959,-0.0001733835984815
01009,-0.0009501121198305,-0.0029130638417016,-0.0016828484971465,-0.000236936862361,-0.0001717008316093,-4.15108272199e-05,-0.0004060711667937,-8.32848382688e-05,0.0016824843198876,-0.0001357488716713,5.83452574472e-05,9.27258462316e-05,-0.0018583138299154,0.0004602057717214,-7.16062766439e-05,-0.0004162358544706,0.0001296416325967,0.0011470562914701,-0.0009966437706962,-0.0006650579546395,-0.000831447793571,-0.0001329463557295,-0.0003148425681686,-0.0004571663954872,8.3034580038e-06
01013,-0.0025505470652962,-0.0014113867511542,-0.0017071416345652,-0.0002032705864893,-1.49836860333e-05,-0.0001462199998497,-0.0006015502587238,-0.000316943374116,0.0016966514904246,0.0001712802530266,2.86025666454e-05,-0.0002267128012865,-0.0020274025867631,0.0004913140999723,-0.0002613772741731,-0.00028865213477,0.0002108476230354,0.0009597579545138,-0.0017806371130743,-0.0014012313262251,-0.0005512419558401,-0.0001559238108608,-0.0006831768511886,-0.0005187767593826,-0.0001100330897835
01015,-0.0014440150813524,-0.0016970121806181,-0.0016135956555204,-0.0003015463884504,-8.39823163419e-05,-0.0002148158727294,-0.0005120519053333,-0.0001025233547687,0.0015843235862516,-8.79086961183e-05,7.00835948541e-05,-6.0479806293e-05,-0.0022050863800873,0.000487541509255,-0.0001075038298813,-0.0003659586658396,9.48586928966e-05,0.001029377137537,-0.0014712255656974,-0.0012010540937144,-0.0007526373983518,-0.0002279321411284,-0.0004374905799566,-0.0005590653880151,-9.54590921747e-05
01017,-0.0019986069497799,-0.0016803651177264,-0.0017481874290334,-0.0002987894164531,-5.35265729279e-05,-5.97664632066e-05,-0.0005386147753949,-0.000143326799791,0.0016263687982714,0.0001279505936985,7.44735752749e-05,-0.0001304479801536,-0.001989065197555,0.000500208930451,-9.2578819066e-06,-0.0004187081005199,0.0001014022603234,0.0010057016292122,-0.0013756010839098,-0.001185450692711,-0.0007621001618649,-0.0001474124131006,-0.0005112666229773,-0.000357369707371,-8.66588100915e-05
01019,-0.0008553383259336,-0.0028194902499208,-0.0014767147913866,-7.38474981269e-05,-4.43052784829e-05,-5.48619740609e-05,-0.0003629226104833,-1.540444435e-07,0.0016365320934389,-0.00016661578594,4.83076096192e-05,0.000207982317446,-0.0018878964781919,0.0006164154153306,7.99426976846e-05,-0.0001574527091439,2.91816567344e-05,0.0011725284751359,-0.0011024827780202,-0.0008371807829716,-0.0009746818488318,-8.68295168237e-05,-0.0005780085456086,-0.0004581451888187,-0.000167476508881
01021,-0.0014025051460017,-0.0024577277470492,-0.0015550048762013,-0.0001940441396583,-0.0001489395249497,7.1521011111e-06,-0.0003959349656164,-0.0001087992044369,0.0015599692747746,-5.87327741696e-05,3.3406885654e-05,4.7108241568e-05,-0.0020311935559917,0.0004687859456412,-3.21845358264e-05,-0.0004313107805514,0.0001901061701533,0.0010905595234058,-0.0011043477351694,-0.0009354554503699,-0.0009873929233665,-0.0002044920359118,-0.0003868008472125,-0.0004634717682469,-0.0001848219183648
